emotion,utterance
neutral,so i though about what you said and i though about what he said and well his way i get to have sex tonight so
neutral,yeah she s fired
fear,just uh just stand up straight
anger,like like like i did something terrible to you
neutral,and uh and david over there i heard he doesn t wear a cup
joy,definitely phoebe you will not find a single game show host who s ass i cannot kick
non-neutral,hey how do you guys get anything done
anger,nooo nooooo you lent me monicas earrings im not allowed to borrow her stuff
fear,there huh hmm there there was an incident
neutral,well oh just ah i was just wondering when you and i split up did you get the tape that was half the last episode of
fear,monica kinda trusted me with something and she shouldn t have
disgust,no
anger,no
surprise,of course i am i just have to make a call
fear,listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out
sadness,because she s not gonna get to keep the babies
joy,go go go
anger,horny bitch no you re a horny bitch noooo you re the horny bitch no you re a horny bitch
fear,i m going crazy okay do you have any thing around here that looks homemade
disgust,can we turn the tv off okay do we really want to spend the entire weekend like this
neutral,well you re making him a frieze salad with goat cheese and pine nuts wild nuts wild rice roast asparagus and salmon au croup
anger,all right thats it i quit
non-neutral,umm yeah actually susan s gonna be home any minute it s kinda an anniversary
fear,oh god
neutral,you know barracuda was the first song i learned to play on the keyboard
joy,ho ho you win dollars
anger,it s my turn
fear,i was scared of telling you
anger,no you have been screwing us all day
neutral,i was thinking maybe maybe maybe it could be a game room y know
sadness,i mean i ll go to the airport with ya i i wanna say good bye
disgust,she sells drugs to kids
joy,so i m here ready to play
surprise,oh yeah
non-neutral,oh well that s great so i guess this is ah this is good bye then huh good bye
fear,well theres no way im gonna get a shot
disgust,oh classy
sadness,dad we we can t believe you re selling the house
disgust,they rushed into this thing so fast it s ridiculous
non-neutral,hes in the bathroom i dont think you wanna go in there
joy,hey
fear,honey i swear i wasn t looking at her
disgust,uh huh
surprise,really
neutral,miss may i help you
surprise,what what what
non-neutral,come on you saw the way he ran out of here
surprise,what
fear,uh oh
non-neutral,remoray
sadness,well it s just my entire family was run out of scotland by vikings anyway lots of bad memories
surprise,oh my god that s pete but why is bill huggin pete
anger,thats it
surprise,so that s it
joy,i mean gosh chandler what you did its its a wonderful thing and i really appreciate it
non-neutral,vic vic
surprise,joey uh
joy,oh i would love to
joy,second date
disgust,to tape the game you do this every time ross you re
non-neutral,ahh nooo
fear,oh boy i just cant watch its too scary
disgust,you don t know how that happened your dog thought my diaphragm was a chew toy
surprise,oh
non-neutral,oh ross you re right i don t know why i always thought this was real grass
sadness,and then apart and then together and then apart and now we have a baby
surprise,ahh
fear,look i look i m having a great time with you and i just don t want us to move to fast or put to much pressure on us
disgust,including umm evil bitch and uh sick bastard
joy,oh wow uh yeah that sounds great i m just gonna put this back in my pocket pretend
joy,we got the grant three years all expenses paid
joy,its just its just the luckiest baby in the whole world
anger,and you i throw myself at you and you say no how gay are you
joy,thanks for letting me stay here i mean monica s place was nice but her fianc e sure stares a lot
joy,yeah i m gonna have a baby i m gonna have a baby i m gonna have a baby
sadness,i am so sorry
surprise,oh my god
non-neutral,you you you didn t know that well i guess my work here is done
anger,what are you talking about ross you just said that you read it twice
sadness,sorry
neutral,hi okay don t be mad at me but i couldn t resist
disgust,oh come on
disgust,it makes him miss the bowl but whatever
anger,because i sure as hell can t figure it out
anger,i m pregnant ross ross okay whenever you re ready and you re the father by the way but you got that
non-neutral,ross what are you im sorry sir i just i think he just really likes you
sadness,oh this life oh okay no chandlers is worse
sadness,yknow what the saddest part is when we were playing together that was like the most fun i ve ever had in like all my lives
anger,go
anger,well why don t think of someone else for a change
joy,thank you thank you thank you and
neutral,i got here a little early myself
fear,i know
disgust,save it red unless you wanna spend the night in the slammer you apologize to the tree
anger,look this is my home and i want to be able to come and go whenever i want
surprise,what
anger,come on man youve been here all day
surprise,cause they cause they thought it was a boy but chandlers a girl
non-neutral,well i don t understand why adrienne s attracted to victor
non-neutral,no you can t let this stop you from getting massages
neutral,no no he s not
neutral,im only eating the skin so the chickens up for grabs
disgust,i don t even know the man okay we re not that close i haven t seen him in years
surprise,phoebe you got joey drums to annoy rachel so she wouldnt wanna live there anymore
surprise,uh huh wow well look there s frank
surprise,oh i knew it what happened
neutral,yeah we both can and we both will
surprise,they musta read the sonogram wrong
sadness,oh im sorry oh i just i thought we could have them whipped and then add some peas and onions
anger,you stole them from me
anger,she keeps lying to me
neutral,bye
sadness,where does that leave me
neutral,hi
non-neutral,good job today
joy,oh yeah i d love that
anger,because i sure as hell can t figure it out
non-neutral,hey
disgust,close shes got her tongue in his ear
fear,no don t i beg of you
non-neutral,my wife s a lesbian
neutral,come on
surprise,my god
surprise,i can t believe it
joy,one hundred percent natural
non-neutral,she says marcels humping things not a phase apparently hes reached sexual maturity
neutral,i m going to the bathroom
disgust,or else youre pretending that youre seeing somebody which just makes you so pathetic that i could start crying right here in the cereal aisle
non-neutral,have i got a surprise for you pack your bags
surprise,ah oh
disgust,you slept with somebody three hours after you thought you broke up i mean bullets have left guns slower
sadness,oh god i knew it that i freaked you out
sadness,my late husband gave me that lighter im not kidding
disgust,what do you think youre gonna do have sex with her right here on my couch
anger,y know what tag if we went down to the office you would see those contracts sitting on your desk
neutral,if you have the big apartment you have to deal with people coming over all the time
fear,well i i got this blinding pain in my stomach when i was lifting weights before then i uh passed out and uh haven t been able to stand up since
joy,yeah it s about relationships y know the traps the pitfalls what not to do keep going this stuff is great
fear,oh god
fear,no no big bear big bear outside i think i i would you actually would you go check on that
surprise,really
surprise,ross geller why do i know that name it s uh wait did you write this
surprise,oh it has a name
non-neutral,i need to talk to you
sadness,yeah me too
joy,hi joey its jane rogers cant wait for your party tonight
surprise,it was like months ago
joy,oh she s gonna love that
joy,oh i just wanted to say hey
neutral,listen i know you wanted to talk to me but i have an idea that may make you want to stay married we register and
surprise,what
fear,please please we just dont want to deal with telling everyone okay just promise you wont tell
joy,we could or we can have sex in it
joy,wanted female roommate non smoker non ugly nice
disgust,oh my god you are pure evil
neutral,well half a brownie
non-neutral,well y know i m i mean who needs a savings account
anger,oh shut up you know its a rebuilding year you waah
non-neutral,i think there are people in there having sex
sadness,im gonna have to give him up
disgust,how rude
sadness,ohh okay i m sorry
joy,yeah
joy,push
joy,oh ooh oh monica it s so beautiful
surprise,maybe
joy,tulsa is heaven
anger,it doesn t say that in the script
neutral,yes if it really doesn t mean anything because you know that i m just not ready
non-neutral,did you not hear me say du ude
non-neutral,why would the little girl creep you out
surprise,hot coffee
fear,f hah flennin
sadness,divorced men s club
disgust,all right
sadness,yeah but i didn t get to see it
joy,hi jill
fear,you re welcome i m sorry did i hurt you
surprise,i m sorry sir i don t understand
non-neutral,it s just yknow been a couple of hours and she hasn t called not that i even care yknow
joy,you know the song sing along
disgust,not even if carols breast had a picture of a missing child on it
joy,i am not horsing around okay i am porsching around
anger,well how would you know you didnt even read it
neutral,but she said shes looking for someone and someone is gonna be there tonight
disgust,ewww
sadness,i m sorry daddy
surprise,you told her before you told us
fear,i said geez relax monnnnn
joy,we were playing gin yknow if we were a couple we could play this game naked
fear,i don t know what i m going to do
neutral,well at the christmas party him and santa did some definitely gay stuff
joy,no no ah everythings okay everybodys healthy theres fingers and toes
surprise,my apothecary table
sadness,i m sorry i m sorry i m sorry
disgust,no no
non-neutral,yknow she d say no but here we are
non-neutral,yeah its kinda sweet sorta like uh
disgust,did anybody else feel they just wanted to peel the skin off their body to have something else to do
sadness,well the old lady died
disgust,what s that smell
disgust,ah no no no just ross ross and joey is embarrassing enough
sadness,well first for forgetting to throw you a bridal shower
surprise,hey listen lady whoa
fear,but i really think i can do it i m just gonna need some help
sadness,hey uh i m really really sorry about what happened in the cafeteria today
anger,yeah no no
surprise,what happened in atlantic city
surprise,oh my god
fear,oh no
sadness,i can t
anger,arent we a little old for this
surprise,phoebs its open its open
anger,my son is being born and i should be in there you know instead of stuck in a closet with you
non-neutral,i mean it is so annoying
joy,you love me
disgust,oh well don t take it to the same place you took the stereo cause they ve had that thing for over a week
neutral,all right now im going to get back to my bucket
anger,and this is not the only hospital in this city and we have no problem to whoa
non-neutral,people have got to finish their stories
joy,yeah okay hey hi
non-neutral,no it s uh my ex wife whitney is out there i cannot deal with her right now that woman is crazy
anger,yeah
joy,all that stuff you said about true love you were right i mean we did learn a lot from mom and dad
fear,well i yknow i was just umm i was just thinking and hoping that umm maybe you d want to get back together
joy,fine maybe i will too
non-neutral,we really need to take those tests
sadness,oh god i m so sorry
surprise,oh my god
non-neutral,you re not the fan who s dying are you
neutral,i feel
neutral,yknow we work in a museum of natural history and yet there is something unnatural about the way we eat lunch
neutral,joey if i go first i wanna be looking for my keys
non-neutral,you had fantasies about emily
non-neutral,yes
surprise,hello oh hi ross see other people call me
neutral,or maybe he he was writing to tell her that that he s changed his name y know tell monica i m sorry
joy,rach you re in a great place in your life come on you ve got a great job good friends
neutral,no no they will i just uh
joy,kinda but i ve just been having way too much fun
surprise,i do
sadness,ok ok so youre not a fan but i mean come on you cannot do this to her
surprise,how how is this my fault
joy,hey
surprise,i m not
surprise,who told you that
joy,we have so much in common
neutral,oh my god honey we are so meant to be together we both have copies of the
surprise,jody
anger,you said i was boring ohh
disgust,cause you re a little princess daddy buy me a pizza daddy buy me a candy factory daddy make the cast of
anger,don t call us that
joy,hi joey its jane rogers cant wait for your party tonight
fear,when you re done over there we kinda have a situation over here too
surprise,wow that was good that was tweezers
non-neutral,then do iceberg
disgust,i m sorry i just can t go to the hospital lookin like this
anger,so i hear you hate me
disgust,whats with her
neutral,oh
neutral,no i ve just always wanted to do that can you help me clean this up
joy,thats fun
non-neutral,oh yeah thats right
anger,no suds no save ok
joy,yes
fear,how bad is this
disgust,i ate a bug
sadness,im so sorry no im sorry no im sorry no im sorry
anger,what you got us evicted
surprise,you have a son
joy,okay
neutral,what are you writing
sadness,oh im sorry
fear,i im sorry sorry
joy,sure i love this part
sadness,what can i do one person wants to break up you break up
neutral,my brother the phd would like to know if theres any way to treat this orally
sadness,ben i want you to know that there may be some times when i may not be around like this
disgust,i also have to find a new video store a new bank a new adult bookstore a new grocery store
disgust,oh my god what were you thinking
sadness,your hair looks too good i think it would upset her ross why dont you come on in
anger,ring dammit ring
joy,you re loyal you re honest and you have integrity
anger,i could play the oboe
neutral,what exactly were you looking for hmm
joy,okay look at this one this is my favourite
sadness,okay i don t know what to do anymore
surprise,oh my god
fear,my lighter s in there
joy,dum dum dum dum dum dum dum dum dum dum
anger,and if you bring in one woman and she has her baby before me i m going to sue you
non-neutral,oh god oh god it s sowed on though
anger,yeah well missy you better be glad that list is laminated
neutral,see yes
sadness,i mean we ve been together seven years she s the only woman who s ever loved me and the only woman i ve i ve ever
non-neutral,ow
neutral,it was
fear,well for the regular guy it s bad but chandler oh dear god
neutral,yeah umm that s whitney kyle s ex wife out there now do you think that you can y know divert her so that we can slip out
anger,oh yeah really is it ross yeah okay well let me make this a just a little bit easier for you
neutral,okay so just spoke to the nurse and the reason that your doctor is late is because uh shes not coming
anger,okay see that blind guy right there im gonna bash his head in later
disgust,yeah
neutral,i am
non-neutral,we ll we ll take stuff from mine and whatever we can pass off as hers we ll we ll put em in there
non-neutral,well neither do i
disgust,pheebs this guy has been obsessed with your sister for god knows how long okay you dont just give up something like that
fear,listen i uh it s a scary world out there especially if you re a single mom
neutral,well actually uh there was something we wanted to tell you about the wedding
sadness,look we ve been together
disgust,no way are you cool enough to pull of clint
fear,she is gonna hate me
neutral,he could never get a woman like that in a million years
surprise,how could it not be
disgust,dad please don t pick your teeth out here
neutral,y know
neutral,what
disgust,thats not what were gonna do
surprise,i cant believe he did this
surprise,ice coffee tell me it s ice coffee
neutral,so honey this uh this threesome thing umm i mean how how are you gonna start to find
surprise,ok but you know what i gotta say im really impressed that you were able to memorize all this so quickly
non-neutral,oh let me guess some idiot on a cell phone wasn t paying attention
anger,joey you re this guy s teacher i mean how could you do this
neutral,uh phoebe can i see you for a second
non-neutral,and its not even born yet
non-neutral,i m sorry
fear,you are really frightening me
non-neutral,wow this is so amazing i uh i really thought i d have to talk you into this more
neutral,oh rachel and i have appointments to get our hair cut
anger,nothing its over dammit this is regularly scheduled programming
neutral,well every single second is like that with aurora and ive just wasted about thirty five of them talking to you people so uh monica can you help me with the door
fear,was it my work were they mad was it jack did he yell
fear,dude what am i gonna
surprise,oh that s great okay well i ve heard everything i need to hear i just need to uh leslie
non-neutral,you re turning into a woman
non-neutral,you re right you re right don t say it
disgust,i mean what the hell is that thing
neutral,but
neutral,okay here s batch
surprise,i know
joy,okay you know you know when your in bed with a woman
non-neutral,chandler you have the best taste in men
surprise,oww joey she just kicked me
joy,all right let s play bamboozled
joy,there he is
sadness,y know i wish i could get him to open up a little bit share some feelings
disgust,i m torn between my integrity and my desire to avoid a beating but i must be honest your soap is abysmal
joy,you know ever since i was little ive been able to pick up quarters with my toes
fear,don t don t just dismiss this so fast
non-neutral,that sounds great
fear,you know you probably didnt know this but back in high school i had a um major crush on you
non-neutral,i know it sounds crazy but chandler this is the greatest sandwich in the world
anger,hey it s been like three weeks
fear,where s my ring my dead grandmother s wedding ring where is it where is it
non-neutral,now i gotta be careful
anger,by the way chandler i cut you out of all my pictures so if you want i have a bag with just your heads
surprise,oh my god wh what happened
joy,oh that s okay i can t wait to see everything again all of the memories
sadness,because uh we we we split up monica and i split up hold me
anger,this is all your fault
anger,i want to talk to that bastard see what his problem is
fear,you tell her jack i can t do it
anger,not after this
sadness,i mean why am i only attracted to guys where there s no future
anger,are you kidding me joey joey joey joey joey joey joey joey joey joey
non-neutral,no
surprise,really
joy,that is a loooot of electricity
fear,this is a freaky place
sadness,i didnt think i could ever love again
anger,go little boy go
disgust,dude you are sick
anger,well lots of people look are you coming to memorial service or not
surprise,what
surprise,oh you want a little cousin
sadness,i m sorry i didn t i don t come in here a lot
neutral,what do you think of adding him to our team
joy,oh its so romantic to send people off on their honeymoon
sadness,come on ross be realistic yknow if i did write something what are the chances i could get those guys to star in it
disgust,ugh
joy,hi roomie
anger,the joke sucks
sadness,look i feel really bad about how i freaked you out before so i called the father and asked him to meet you here so you can tell him
non-neutral,no no no it s flattery
joy,yeah yeah and if i get it by day i ll dr drake remoray but by night i ll be joey trrrribbiani
surprise,oh my god i know who the father is
disgust,well you should be embarrassed
joy,you guys were totally right
sadness,good bye monica i wish you a lifetime of happiness with him
neutral,yes
joy,remember when we went to central park and rented boats that was fun
non-neutral,yes yes i did
joy,good good good good good
anger,oh god get out
anger,no drinks near the bucket
neutral,ok now remember when you get to the museum monet is not spelt m o n a y
neutral,chandler
fear,no umm okay but while you dial let me show you the features of my new ringing handbag oh it does work
neutral,then we can put you in bed okay
neutral,hey what do you want to drink
fear,i can t i can t stay here all night and if i go in there she s she s gonna wanna do stuff
non-neutral,no
joy,sure
disgust,no
anger,your other student was you
joy,come on you know thanksgiving ooh you got the bigger half whatd you wish for
disgust,ugh can you believe that guy
non-neutral,i m just doing it to get back at ross
surprise,what guys im not
fear,im trppd in an atm vstbl wth
sadness,it s just if if we got together again and it didn t work out i could never do that to emma
non-neutral,hes gonna stick around and talk to the daughter he abandoned
non-neutral,no never never bye
joy,yeah yeah yeah like like when i m doing something exciting and i don t wanna get
joy,nope sound like me pheebs it s going great look at chandler with little baby girl chandler
fear,umm see i was thinking maybe you two could switch apartments because phoebes more our kind of people
joy,let s also get a hot plate
sadness,well alright we already tried feeding her changing her burping her oh try this one
sadness,yeah maybe
anger,that kid really kicked me hard on the plane
sadness,im not gonna lie to you ross it doesnt look good
surprise,what do you what do you mean
disgust,ew
neutral,why not
joy,i love you too
sadness,yeah but
non-neutral,i can t do it
disgust,a magic eight ball you cant be serious you cant make this decision with a toy
surprise,that s crazy
neutral,all right sorry
joy,thanks
neutral,oh yes it s me sorry
neutral,okay
anger,it it is broken
surprise,look what i got look what i got look what i got can you believe they make these for little people
neutral,yes well mr kostelick wants you to stop by his office at the end of the day
neutral,because every time i look at that cover i m like
disgust,no a guy would be saying i m never gonna get to sleep with anyone else
surprise,oh yeah
fear,wait wait wait wait wait wait wait wait
anger,so if i said yes he would know i had nothing better to do than wait around for an invitation to his stupid party
fear,oh uh
disgust,well at least you re not hearing it for the first time at your fifth grade halloween party
sadness,you wouldve liked it
anger,that s not true
surprise,awkward why should he feel awkward
joy,and then we could ve gone from the ceremony to the reception with you in the sidecar
surprise,rosss what
fear,yeah but i don t wanna die
sadness,but you you understand how how hard it is to forget about this
joy,yeah y know happy holidays from mona and ross it ll be cute okay
disgust,uh this is too weird
non-neutral,sometimes i get in here just to get away from it hey a nickel
non-neutral,oh yeah if you re gonna make me choose between you and the hat i choose the hat
non-neutral,this is the first time in my life i m doing something that i m actually good at
neutral,hi sorry i m late were you sleeping
joy,yeah
disgust,honey if you wanted to do that you might as well just gotten him a fish you know how fish freaked me out
non-neutral,ross youre being silly ive tried it its no big deal just taste it
sadness,oh shoot i work monday nights
sadness,hi ben so you wanna be an actor huh i gotta tell ya its no picnic theres tons of rejection
sadness,you have no idea how much i need this
disgust,yeah that s what i drive i make four bucks an hour i saved up for years
disgust,will you grow up im not talking about sexy stuff but like when im cooking naked
joy,sure
sadness,i m sorry your husband cheated on you
sadness,i m sorry
joy,oh it s like a huge weight has been lifted
fear,um yknow before we go ah there s something i need to say
fear,the woman from the museum called and said that there was a cancellation and that we could move up our wedding and chandler heard
joy,i did it
anger,you ll see
fear,tulsa is italy please don t make me go there
disgust,we re not gonna do that
surprise,oh my god are you serious
joy,yeah
disgust,cmon were roommates my eyes my eyes
joy,well you promised me a fun road trip
non-neutral,remember when ross tried to say butternut squash
fear,okay all right don t judge me to much
surprise,okay that s why you didn t want me to touch him right
neutral,oh y know what that might be okay even if it was just kind of a fling that might be all right with rachel
surprise,oh hey whoa whoa don t worry
joy,oh thank you hey hey rachel
sadness,look he knows he did a terrible thing and i believe him he s sorry
anger,no
fear,can we please focus here a naked man s life hangs in the balance
disgust,yeah well next thing you know he ll be telling you that your high heels are good for his posture
joy,this is so great
anger,we re not throwing it away i built that canoe
anger,hey it s your thanksgiving too yknow instead of watching football you could help
anger,damnit
sadness,ohh and i don t even have a date
non-neutral,mom says its all of manhattan parts of brooklyn and queens and they have no idea when its coming back on
neutral,oh ok fine
surprise,oh oh my god
anger,hey ross i told you i don t
non-neutral,ross is so crazy about you and i really wanted you to like me and its probably me being totally paranoid but i kinda got the feeling that maybe you dont
sadness,i can never kiss you again when its all i can do not to kiss you right now
sadness,dont get your hopes up guys we only get to see her from the back or from the neck up
anger,it s not like i haven t any opportunities
neutral,string
disgust,im like those women that you see with shiny guys named chad
sadness,oh im sorry im really sorry
anger,oh some idiot customer put a suggestion in the suggestion box
disgust,nothing it s just old and dingy that s all
sadness,and so i m gonna get on this spaceship and i m gonna go to blargon in search of alternative fuels
anger,she broke my arm
anger,hey you wanna live to see your baby
disgust,you bought your sheets at a flea market ross come on you gotta loosen the purse strings a little
disgust,oh my good god
surprise,ahhh
disgust,i m an idiot
joy,well now i get to spend my shower with the only people i really love
non-neutral,there s nothing to handle
sadness,he s not gonna make it he s stuck in chicago
fear,you know i you know cant do this
fear,well what am i going to tell monica she wants to wear them tonight
non-neutral,no i talked to joey on the set he hasn t heard from him i i i talked to chandler s parents again
fear,no no wait wait i can t just let you hang up just please talk to me
anger,oh no no no oh no no no emily
non-neutral,well basically lately ive uh ive uh sort of had feelings for you
anger,no you guys i am not getting in a car with him you ll have to think of something else
surprise,what are you doing here
joy,oh wow you look great glad you could make it
disgust,eight and a half hours of aptitude tests intelligence tests personality tests and what do i learn
non-neutral,i mean what
sadness,i mean well cause when i was growing up you know my dad left and my mother died and my stepfather went to jail so i barely had enough pieces of parents to make one whole one
sadness,so do you think you can forgive me
sadness,all right all right i ll do it
anger,okay stop
surprise,fantastic i have one question how is that possible
joy,so wow this is pretty wonerful huh
surprise,hey
non-neutral,are are are rachel and i not as close as you guys
surprise,y know what you are right
joy,ohh monica i am so excited for you
anger,hey hey hey thats not the rule and you know it
fear,do you have a minute i d like to talk to you about something i m i m really uncomfortable talking about
disgust,ugh
fear,youd better act surprised
fear,i want her to think i might be in a restaurant yknow
joy,ohh you and your ways since it s christmastime i m going to be one of those people collection donations
disgust,oh my god he threw up
surprise,wow
sadness,yeah maybe but i don t think i even care
anger,they re still very angry
sadness,it s hard this whole platonic thing
joy,yeah baby
surprise,ooh
joy,really thats great
non-neutral,no no no no no no no
anger,oh fine take his side
surprise,oh my god that s david
surprise,oh no where to too paris
sadness,i m sorry
sadness,well it just hurts so bad i uh
surprise,oh yeah probably at the end oh my god he only took pictures of my breasts
neutral,can i ask you something
fear,are you really gonna do this
sadness,well i kinda wanted to sell the cookies the girl who sells the most wins a trip to spacecamp and gets to sit in a
disgust,wo women you mean like old women
neutral,yes that is cool because i have models here yknow never
sadness,that was a pretty tough year
joy,oh we did but my mom got us the greatest gift of all
sadness,please help me out for old times sake
neutral,oh hi ju hi jew
sadness,you missed you re chance
disgust,what we did was wrong oh god i just had sex with somebody that wasnt alive during the bicentennial
non-neutral,the woman i love is having a baby today ive been waiting for this just as much as you have
surprise,uh wow
neutral,oh
non-neutral,oh god
disgust,do you remember how he behaved at our wedding
sadness,no
disgust,that s weird
sadness,rach look i really don t think that s such a great
sadness,no no it s not it s not gonna be okay it sucks no swing band no lilies
anger,look carol never threw me out of a room before you came along
non-neutral,come on more
neutral,i just i feel i i just
sadness,i know i know it was stupid
sadness,look it s not that easy she said she wanted to marry me i don t want to hurt her
non-neutral,wow nice manly and also kind of a slut
sadness,oh no i i m sorry i guess we lost track of everybody after high school
anger,no one has been waiting for this as much as i have ok
neutral,man
sadness,hey if little joeys dead then i got no reason to live
surprise,okay where in the hell did you get that
joy,hey how s my pal toby doing today
anger,nevermind
surprise,apparently there s like a million guys out there that can play mac and there s only this one robot and this one guy who controls it
anger,it s not even a song
anger,noo i don t care i m not i m not gonna playing one on one strip poker with you for practice
disgust,unbelievable i mean you really kept joeys underwear why why would you do that
sadness,yes of course absolutely youre right im sorry
non-neutral,two very good points look i ve known you both a long time and i ve never seen either of you one millionth as happy as you ve been since you ve got together
sadness,this poor guy s been in a coma for five years it s hopeless
sadness,did i use that already today i m sorry
anger,stupid useless canadian money
anger,oh my god where the hell have you been
joy,that s great good for you guys
anger,and were not a couple of suckers
non-neutral,i mean look that that one night we had was fun and and certainly passionate but don t you think it s better if we just stayed friends
anger,this isn t funny
disgust,who cares i repel women
joy,you have to tell her
anger,no they are mine
joy,done i did it heh who s stupid now
sadness,my bed s so boring
sadness,its a money thing we dont have any
surprise,wait you re going out with kathy
fear,okay ben i won t tell your daddy that you had ice cream for dinner if you don t tell about our little bonking incident
non-neutral,thanks a lot
joy,oh yeah hes got that great baby smell get a whiff of his head
joy,that is a good one
joy,ooh great thanks
disgust,i know but that creep that i went on that date with goes to there so i have to find a new one
surprise,oh
neutral,i ll do it
sadness,well i dont know what else to do
sadness,i m guess i m just done with the whole dating thing
fear,just hear me out
anger,stop going through my stuff
anger,phoebe i asked you to guard the ring
anger,yeah and y know what i don t give a tiny rat s ass
disgust,okay and it s not just chicks yknow it s all kinds of other animals
fear,okay see now i m scared because i don t actually think you re kidding
surprise,what
neutral,that fridge has got to be stocked okay that s your department now
joy,hi
fear,joey i am scared to death about this
non-neutral,cause i i got nothing
fear,oh yeah well you know me babies responsibilities ahhh
surprise,it worked
sadness,i ve got some bad news
surprise,where
anger,you stole them from me
neutral,how about we talk about this over dinner
non-neutral,i didn t make it
sadness,it was dreadful i felt terrible about how i acted when you said those wonderful things
fear,it s still it s got a tail get it out of here get it out of here
anger,stop callin
non-neutral,oh god i know im a pathetic loser
joy,ohh ive always wanted to go to this culinary fair that they have in jersey
non-neutral,oh between you telling him that i wanted to have a fling and me putting out on the first date oh he s so gonna get the wrong idea
sadness,what oh my god i m gonna miss you so much
neutral,yeah
joy,yay okay
non-neutral,the week after that
surprise,really
joy,yep we wanna get married
non-neutral,nooo no that s not true no best time ever yeah you rocked my world
non-neutral,its just my knitting thats all yes i knit this im very good
disgust,no we hate him
non-neutral,okay i m running out of places i can touch him
non-neutral,but you ve got one more apology to make all right you ve got to apologize to mary angela
surprise,what s going on
anger,yknow hey you re the one who ended it remember
fear,no i mean no not you not you you you
joy,listen i gotta tell ya i i m having a great time
surprise,wow she is pretty huh
anger,hi i m rachel is my sweater too tight no oh i d better wash it and shrink it
surprise,i cant believe i didnt even think of that
surprise,oh
neutral,no not anymore
sadness,oh it s bad it s really bad the only thing in there that isn t burned is an ass which i do
disgust,now if after dinner you still really need to bust someone i know a hot dog vendor who picks his nose
joy,hello baby hello hello
sadness,aw god ross oh
fear,oh uh i actually came here to ask you out
neutral,all in good time my love
fear,that s funny umm it s not funny
anger,i don t care about your dad i care about mona she was there and now she s totally freaked out
neutral,i
disgust,ugh ross
non-neutral,the little jail between the doors
surprise,wait you forgot your legs
anger,yknow how did i get this reputation as a dropper okay im
neutral,what happened
non-neutral,hey
neutral,and you know what the funny thing is
neutral,ah it s still not the time
disgust,this place is so overpriced
surprise,rach are you okay
fear,uh oh
fear,dont say it
neutral,okay
disgust,i mean that ain t a pretty picture in the morning y know what i mean
neutral,yeah i can just go home and get back at him by myself
neutral,y know what i think it is
joy,hello
joy,hey
surprise,okay ow ow oh oh
sadness,and then maybe they re gonna have to leave the city to be near a
disgust,ewww yeah umm i think i m gonna stay here
joy,oh oh it s beautiful i see it now
neutral,hey youre not rich are ya
anger,look maybe i need to try a real teacher
sadness,but lately all the guys i meet seem really nice at first then they turn out to be the biggest jerks
sadness,its awful i know i mean i feel terrible but i have to do this if i want my marriage to work
fear,okay here goes
neutral,it s kind of embarrassing
surprise,oh wow
neutral,oh i i have plans tonight
sadness,it s one more thing in my life that s suddenly completely different
neutral,you know where i work
surprise,really
disgust,im not reading this
disgust,yeah i dont like that word
fear,are you gonna break up with me if i get fat again
anger,oh so you just sort of happened to leave it in here
fear,i know i probably shouldnt even tell you this but im pretty much totally intimidated by you
neutral,and then the florist phoned to say there aren t any tulips
joy,yknow what youre right phoebe youre right thank you
disgust,oh ew ew ew ugh y know what this is too weird
fear,i don t want a ghost
sadness,we ruined everything
non-neutral,phoebe knows and shes just trying to freak us out thats the only explanation for it
joy,pizza delivery
surprise,im not crazy right i mean it was never like that
non-neutral,ha ha it s not my baby ha ha ha
surprise,you really think it would be that different
fear,no no no no no you cant
fear,the reactor s gonna blow in three seconds we re never gonna make it
joy,im still alive
sadness,yknow for me anyway
fear,four please i m really nervous thank you
sadness,i feel stupid
surprise,what is that
fear,wait
joy,ah ooh well looks like uh we kicked your butts
disgust,weve got the ground up flesh of formerly cute cows and turkeys ew
non-neutral,yeah its his uh innate alan ness that that that we adore
surprise,really
anger,i got no sleep last night
non-neutral,no you didn t
surprise,oh no why
disgust,so rocks
non-neutral,sorry
anger,we have no choice
joy,did that
non-neutral,julie julie isnt that great i mean isnt that just kick you in the crotch spit on your neck fantastic
sadness,the empty vase is not about you my baby you make me so sad that you would think this
neutral,ennnh
surprise,youre nose is bleeding
non-neutral,wait wait wait
joy,me too
sadness,david the scientist guy david that i was in love with david who went to russia and broke my heart david
neutral,nobody
neutral,oh it s umm it s tofu cake do you want some
sadness,yeah its a real shame you cant make it to that one woman show tonight
non-neutral,hey look this name has been holding me back my entire life
sadness,i mean we re not we re not gonna live together anymore
non-neutral,of course i am
sadness,yeah
neutral,umm actually i was about to tell you that i was i was going to get out of it but hey if were just goofing around then uh maybe i
fear,bob
neutral,that s very good what s your name
anger,happy is that what i m supposed to be vic happy
neutral,where
neutral,the actor who has the part doesn t know he might be fired
surprise,oh you re serious sure
anger,i m next
non-neutral,or incredibly offensive
sadness,that s not how that was supposed to come out
neutral,hey mikey
anger,ross if you don t tell them then i will
non-neutral,eh i don t i don t know
anger,are you just repeating what im saying
disgust,this morning i caught him looking into our apartment
surprise,why didn t i see that
anger,hey dont blame me for wigging tonight
surprise,not him you don t
